id,title,company,period,description,technologies,order
1,Analista de Suporte N1,Aegea Corsan,07/2025 - Atual,Profissional responsável por prestar suporte técnico e manutenção aos sistemas operacionais e equipamentos da empresa. Atua na atualização de softwares análise de prioridades de atendimento remanejamento e upgrade de hardware além de realizar rotinas de backup e controle de licenças de software. Administra sistemas operacionais impressoras e contas de usuários incluindo e-mails e grupos. Executa manutenções preventivas e corretivas em equipamentos de informática redes de dados e telefonia.,Windows;Linux;Redes;Hardware;Backup;Telefonia,1
2,Analista de Suporte e Infraestrutura,CAAL (Cooperativa Agroindustrial Alegrete LTDA),05/2023 - 07/2025,Suporte e instalação de sistemas operacionais e entrada em Domínio (AD). Manutenção de hardware em estações de trabalho e servidores. Conhecimento em redes conectividade wi-fi cabeamento IPs. Administração de telefonia PABX VoIP. Instalação e manutenção de sistemas CFTV. Conhecimento em TOTVS Protheus e ADVPL. Criação e manutenção de testes automatizados com Python. Banco de dados SQL Oracle.,Windows;Linux;Active Directory;TOTVS Protheus;ADVPL;Python;SQL;Oracle;CFTV;VoIP;PABX,2
3,Assistente Administrativo,RGE – Estação Avançada de Alegrete,08/2022 - 06/2023,Trabalhei no setor de gestão de operações e apoio administrativo onde desenvolvi habilidades organizacionais e operacionais. Responsável por processos administrativos e suporte operacional.,Microsoft Office;Gestão;Operações,3
4,Freelancer Administrativo,A&Z Cosméticos LTDA,06/2021 - 05/2025,Emissão de notas fiscais e boletos. Gestão de estoque e pedidos. Cadastro de clientes e suporte comercial. Criação de materiais de marketing digital. Automação de processos administrativos (Micro Automações locais).,ERP;Marketing Digital;Automação;Gestão de Estoque,4
